name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
09-01-2001,96,en,2165,8.224,3
See,24,en,2163,8.2,3
Fringe,100,en,2154,8.119,3
DC's Legends of Tomorrow,110,en,2130,7.332,2
Young Sheldon,127,en,2124,8.057,3
The Pacific,10,en,2123,7.738,2
Hannibal,39,en,2121,8.23,3
Mindhunter,19,en,2099,8.069,3
BoJack Horseman,76,en,2083,8.558,3
Tokyo Ghoul,48,ja,2072,8.374,3
Charmed,178,en,2068,8.189,3
Marvel's Jessica Jones,39,en,2059,7.529,2
The Expanse,62,en,2058,8.054,3
The Fresh Prince of Bel-Air,148,en,2056,7.955,2
NCIS,457,en,2047,7.631,2
Superman & Lois,43,en,2047,8.1,3
Bridgerton,24,en,2045,8.143,3
Heroes,78,en,2018,7.487,2
Chicago Fire,239,en,2008,8.4,3
Homeland,96,en,1969,7.544,2
The Kardashians,40,en,1968,8.63,3
Ozark,44,en,1968,8.244,3
Locked Up: The Oasis,8,es,1966,7.86,2
The Haunting of Hill House,10,en,1953,8.1,3
Once Upon a Time,156,en,1948,7.315,2
Halo,9,en,1926,8.3,3
Pasión de Gavilanes,259,es,1925,7.641,2
The Wire,60,en,1889,8.535,3
El juego de las llaves,18,es,1878,7.483,2
Sex and the City,94,en,1871,7.4,2
American Dad!,366,en,1861,6.952,2
"Sex, Explained",5,en,1856,6.553,2
Gossip Girl,121,en,1852,8.302,3
InuYasha,193,ja,1851,8.587,3
Love Alarm,14,ko,1843,8.402,3
The Legend of Korra,52,en,1841,8.253,3
Firefly,11,en,1830,8.331,3
Lupin,17,fr,1824,7.769,2
She-Hulk: Attorney at Law,9,en,1816,6.378,2
The Wheel of Time,16,en,1809,7.74,2
The Crown,55,en,1794,8.236,3
Regular Show,257,en,1783,8.655,3
Dragon Ball GT,64,ja,1783,7.678,2
Twin Peaks,48,en,1775,8.295,3
La Reina del Sur,183,es,1769,7.839,2
Yellowstone,47,en,1768,8.2,3
Star Wars: The Clone Wars,133,en,1767,8.474,3
Fullmetal Alchemist: Brotherhood,64,ja,1749,8.699,3
Jurassic World Camp Cretaceous,49,en,1745,8.031,3
Drake & Josh,57,en,1736,8.371,3
The Sandman,11,en,1726,8.064,3
We Bare Bears,138,en,1721,7.728,2
El Chavo del Ocho,320,es,1717,7.904,2
Good Omens,12,en,1708,8.1,3
DARLING in the FRANXX,24,ja,1700,8.619,3
The Boss Baby: Back in Business,49,en,1687,7.043,2
Teresa,151,es,1681,7.646,2
Seinfeld,180,en,1671,8.282,3
I Am Not Okay with This,7,en,1667,8.107,3
Alice in Borderland,16,ja,1666,8.192,3
