Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
The Shawshank Redemption,1994,142,9.3,"28,12,020",$28.34M,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",Very High
The Godfather,1972,175,9.2,"19,59,769",$134.97M,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",Very High
The Dark Knight,2008,152,9.0,"27,93,712",$534.86M,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",High
Schindler's List,1993,195,9.0,"14,13,613",$96.90M,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",High
The Lord of the Rings: The Return of the King,2003,201,9.0,"19,25,356",$377.85M,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",High
12 Angry Men,1957,96,9.0,"8,37,446",$4.36M,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",High
The Godfather Part II,1974,202,9.0,"13,30,689",$57.30M,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",High
Pulp Fiction,1994,154,8.9,"21,56,537",$107.93M,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",High
Fight Club,1999,139,8.8,"22,46,720",$37.03M,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",High
Inception,2010,148,8.8,"24,79,572",$292.58M,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",High
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,"19,53,064",$315.54M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",High
Forrest Gump,1994,142,8.8,"21,89,402",$330.25M,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",High
The Lord of the Rings: The Two Towers,2002,179,8.8,"17,36,782",$342.55M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",High
"Il buono, il brutto, il cattivo",1966,161,8.8,"7,92,576",$6.10M,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']",High
Jai Bhim,2021,164,8.8,"2,11,481",#219,T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']",High
777 Charlie,2022,136,8.8,"37,228",*****,Kiranraj K,"['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty']",High
Spider-Man: Across the Spider-Verse,2023,140,8.7,"2,81,016",#23,"Directors:Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']",High
Interstellar,2014,169,8.7,"20,03,590",$188.02M,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",High
Goodfellas,1990,145,8.7,"12,21,075",$46.84M,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",High
The Matrix,1999,136,8.7,"19,99,293",$171.48M,"Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",High
One Flew Over the Cuckoo's Nest,1975,133,8.7,"10,47,590",$112.00M,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",High
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,"13,47,558",$290.48M,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",High
Soorarai Pottru,2020,153,8.7,"1,21,308",*****,Sudha Kongara,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Urvashi']",High
Rocketry: The Nambi Effect,2022,157,8.7,"55,824",*****,Madhavan,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']",High
The Silence of the Lambs,1991,118,8.6,"15,02,403",$130.74M,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",High
Se7en,1995,127,8.6,"17,43,044",$100.13M,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",High
The Green Mile,1999,189,8.6,"13,67,505",$136.80M,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",High
Saving Private Ryan,1998,169,8.6,"14,56,672",$216.54M,Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']",High
Star Wars,1977,121,8.6,"14,18,888",$322.74M,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']",High
Sen to Chihiro no kamikakushi,2001,125,8.6,"8,14,917",$10.06M,Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']",High
Terminator 2: Judgment Day,1991,137,8.6,"11,46,422",$204.84M,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",High
Cidade de Deus,2002,130,8.6,"7,84,453",$7.56M,"Directors:Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']",High
La vita è bella,1997,116,8.6,"7,25,625",$57.60M,Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']",High
It's a Wonderful Life,1946,130,8.6,"4,80,922",#20,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']",High
Shichinin no samurai,1954,207,8.6,"3,59,368",$0.27M,Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']",High
Seppuku,1962,133,8.6,"64,516",#45,Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']",High
Sita Ramam,2022,163,8.6,"63,692",*****,Hanu Raghavapudi,"['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth']",High
Oppenheimer,I 2023,180,8.5,"4,67,221",#47,Christopher Nolan,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']",Moderate
Gladiator,2000,155,8.5,"15,70,732",$187.71M,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",Moderate
The Departed,2006,151,8.5,"13,86,326",$132.38M,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",Moderate
Alien,1979,117,8.5,"9,24,089",$78.90M,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']",Moderate
Gisaengchung,2019,132,8.5,"8,96,763",$53.37M,Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']",Moderate
The Prestige,2006,130,8.5,"14,02,958",$53.09M,Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",Moderate
Psycho,1960,109,8.5,"7,02,385",$32.00M,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",Moderate
Whiplash,2014,106,8.5,"9,39,193",$13.09M,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']",Moderate
Back to the Future,1985,116,8.5,"12,69,720",$210.61M,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",Moderate
Django Unchained,2012,165,8.5,"16,43,357",$162.81M,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']",Moderate
Léon,1994,110,8.5,"12,14,268",$19.50M,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']",Moderate
The Lion King,1994,88,8.5,"11,11,083",$422.78M,"Directors:Roger Allers, Rob Minkoff","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",Moderate
The Usual Suspects,1995,106,8.5,"11,22,865",$23.34M,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']",Moderate
The Intouchables,2011,112,8.5,"9,02,662",$13.18M,"Directors:Olivier Nakache, Éric Toledano","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']",Moderate
American History X,1998,119,8.5,"11,62,648",$6.72M,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",Moderate
The Pianist,2002,150,8.5,"8,83,020",$32.57M,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']",Moderate
Casablanca,1942,102,8.5,"5,93,953",$1.02M,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",Moderate
Once Upon a Time in the West,1968,165,8.5,"3,42,785",$5.32M,Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']",Moderate
Hotaru no haka,1988,89,8.5,"2,97,725",#44,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']",Moderate
Rear Window,1954,112,8.5,"5,11,032",$36.76M,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",Moderate
Nuovo Cinema Paradiso,1988,155,8.5,"2,75,231",$11.99M,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']",Moderate
Modern Times,1936,87,8.5,"2,53,640",$0.16M,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",Moderate
City Lights,1931,87,8.5,"1,92,100",$0.02M,Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']",Moderate
96,II 2018,158,8.5,"34,662",*****,C. Prem Kumar,"['Vijay Sethupathi', 'Adithya Bhaskar', 'Trisha Krishnan', 'Gouri Kishan']",Moderate
The Shining,1980,146,8.4,"10,76,469",$44.02M,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']",Moderate
Joker,I 2019,122,8.4,"14,13,156",$335.45M,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",Moderate
Avengers: Endgame,2019,181,8.4,"12,21,386",$858.37M,"Directors:Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",Moderate
Inglourious Basterds,2009,153,8.4,"15,33,108",$120.54M,Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']",Moderate
The Dark Knight Rises,2012,164,8.4,"17,83,271",$448.14M,Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']",Moderate
Oldeuboi,2003,101,8.4,"6,14,581",$0.71M,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']",Moderate
Aliens,1986,137,8.4,"7,46,064",$85.16M,James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']",Moderate
Spider-Man: Into the Spider-Verse,2018,117,8.4,"6,35,539",$190.24M,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']",Moderate
Coco,I 2017,105,8.4,"5,60,001",$209.73M,"Directors:Lee Unkrich, Adrian Molina","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']",Moderate
Avengers: Infinity War,2018,149,8.4,"11,61,913",$678.82M,"Directors:Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",Moderate
Memento,2000,113,8.4,"12,92,329",$25.54M,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']",Moderate
Apocalypse Now,1979,147,8.4,"6,94,639",$83.47M,Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']",Moderate
Raiders of the Lost Ark,1981,115,8.4,"10,16,521",$248.16M,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",Moderate
Idi i smotri,1985,142,8.4,"91,008",#91,Elem Klimov,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas']",Moderate
Amadeus,1984,160,8.4,"4,18,788",$51.97M,Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']",Moderate
3 Idiots,2009,170,8.4,"4,20,229",$6.53M,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']",Moderate
Kimi no na wa.,2016,106,8.4,"3,01,794",$5.02M,Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']",Moderate
WALL·E,2008,98,8.4,"11,69,193",$223.81M,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']",Moderate
The Lives of Others,2006,137,8.4,"4,02,661",$11.29M,Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']",Moderate
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,"5,08,307",$0.28M,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']",Moderate
Capharnaüm,2018,126,8.4,"1,00,023",$1.66M,Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad']",Moderate
Das Boot,1981,149,8.4,"2,59,667",$11.49M,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']",Moderate
Sunset Blvd.,1950,110,8.4,"2,31,344",#61,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']",Moderate
Paths of Glory,1957,88,8.4,"2,07,155",#62,Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']",Moderate
Witness for the Prosecution,1957,116,8.4,"1,33,202",$8.18M,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']",Moderate
Kaithi,2019,145,8.4,"39,067",*****,Lokesh Kanagaraj,"['Karthi', 'Narain', 'Arjun Das', 'George Maryan']",Moderate
The Great Dictator,1940,125,8.4,"2,32,888",$0.29M,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']",Moderate
Tengoku to jigoku,1963,143,8.4,"50,274",#86,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']",Moderate
Sardar Udham,2021,164,8.4,"45,440",*****,Shoojit Sircar,"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']",Moderate
Asuran,2019,141,8.4,"32,312",*****,Vetrimaaran,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']",Moderate
Drishyam 2,2021,152,8.4,"39,874",*****,Jeethu Joseph,"['Mohanlal', 'Meena', 'Ansiba', 'Esther Anil']",Moderate
Top Gun: Maverick,2022,130,8.3,"6,36,791",$718.73M,Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']",Moderate
American Beauty,1999,122,8.3,"11,89,680",$130.10M,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",Moderate
Heat,1995,170,8.3,"6,96,843",$67.44M,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",Moderate
Requiem for a Dream,2000,102,8.3,"8,78,454",$3.64M,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']",Moderate
Good Will Hunting,1997,126,8.3,"10,27,607",$138.43M,Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']",Moderate
Scarface,1983,170,8.3,"8,89,422",$45.60M,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']",Moderate
Once Upon a Time in America,1984,229,8.3,"3,68,460",$5.32M,Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']",Moderate
Eternal Sunshine of the Spotless Mind,2004,108,8.3,"10,50,454",$34.40M,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']",Moderate
A Clockwork Orange,1971,136,8.3,"8,63,121",$6.21M,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']",Moderate
2001: A Space Odyssey,1968,149,8.3,"7,01,536",$56.95M,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']",Moderate
Braveheart,1995,178,8.3,"10,71,713",$75.60M,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",Moderate
Jagten,2012,115,8.3,"3,52,044",$0.69M,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']",Moderate
Reservoir Dogs,1992,99,8.3,"10,63,536",$2.83M,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",Moderate
Hamilton,2020,160,8.3,"1,07,169",#112,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']",Moderate
Toy Story,1995,81,8.3,"10,41,942",$191.80M,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",Moderate
Full Metal Jacket,1987,116,8.3,"7,73,096",$46.36M,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']",Moderate
Incendies,2010,131,8.3,"1,90,548",$6.86M,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']",Moderate
Up,2009,96,8.3,"10,95,230",$293.00M,"Directors:Pete Docter, Bob Peterson","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']",Moderate
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,"10,97,388",$309.13M,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",Moderate
Le fabuleux destin d'Amélie Poulain,2001,122,8.3,"7,80,622",$33.23M,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']",Moderate
Lawrence of Arabia,1962,218,8.3,"3,06,857",$44.82M,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']",Moderate
North by Northwest,1959,136,8.3,"3,39,757",$13.28M,Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']",Moderate
Mononoke-hime,1997,134,8.3,"4,18,027",$2.38M,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']",Moderate
Toy Story 3,2010,103,8.3,"8,72,954",$415.00M,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']",Moderate
Vertigo,1958,128,8.3,"4,18,192",$3.20M,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']",Moderate
The Sting,1973,129,8.3,"2,73,744",$159.60M,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']",Moderate
Metropolis,1927,153,8.3,"1,81,526",$1.24M,Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']",Moderate
Vikram,2022,175,8.3,"68,588",*****,Lokesh Kanagaraj,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain']",Moderate
To Kill a Mockingbird,1962,129,8.3,"3,27,190",#113,Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']",Moderate
Citizen Kane,1941,119,8.3,"4,57,704",$1.59M,Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']",Moderate
Singin' in the Rain,1952,103,8.3,"2,54,290",$8.82M,"Directors:Stanley Donen, Gene Kelly","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']",Moderate
M - Eine Stadt sucht einen Mörder,1931,117,8.3,"1,64,923",$0.03M,Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']",Moderate
Dangal,2016,161,8.3,"2,02,857",$12.39M,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']",Moderate
Jodaeiye Nader az Simin,2011,123,8.3,"2,53,693",$7.10M,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']",Moderate
The Apartment,1960,125,8.3,"1,91,084",$18.60M,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",Moderate
Judgment at Nuremberg,1961,179,8.3,"82,354",#136,Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",Moderate
Ikiru,1952,143,8.3,"84,507",$0.06M,Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka']",Moderate
Taare Zameen Par,2007,162,8.3,"2,02,281",$1.22M,"Directors:Aamir Khan, Amole Gupte","['Darsheel Safary', 'Aamir Khan', 'Tanay Chheda', 'Sachet Engineer']",Moderate
Double Indemnity,1944,107,8.3,"1,63,882",$5.72M,Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']",Moderate
Ladri di biciclette,1948,89,8.3,"1,71,071",$0.33M,Vittorio De Sica,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell', 'Elena Altieri']",Moderate
K.G.F: Chapter 2,2022,166,8.3,"1,43,733",$6.60M,Prashanth Neel,"['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty']",Moderate
Shershaah,2021,135,8.3,"1,26,874",*****,Vishnuvardhan,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']",Moderate
Ayla: The Daughter of War,2017,125,8.3,"42,581",*****,Can Ulkay,"['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']",Moderate
Ratsasan,2018,170,8.3,"48,614",*****,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']",Moderate
Chhichhore,2019,143,8.3,"60,347",$2.00M,Nitesh Tiwari,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Patil Babbar']",Moderate
Drishyam,2013,160,8.3,"43,210",*****,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']",Moderate
The Wolf of Wall Street,2013,180,8.2,"15,19,930",$116.90M,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",Moderate
The Thing,1982,109,8.2,"4,50,932",$13.78M,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']",Moderate
Spider-Man: No Way Home,2021,148,8.2,"8,38,208",$804.75M,Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']",Moderate
Taxi Driver,1976,114,8.2,"8,90,800",$28.26M,Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']",Moderate
Jurassic Park,1993,127,8.2,"10,39,115",$402.45M,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']",Moderate
No Country for Old Men,2007,122,8.2,"10,28,284",$74.28M,"Directors:Ethan Coen, Joel Coen","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']",Moderate
Shutter Island,2010,138,8.2,"14,03,883",$128.01M,Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']",Moderate
A Beautiful Mind,2001,135,8.2,"9,66,347",$170.74M,Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",Moderate
The Sixth Sense,1999,107,8.2,"10,28,364",$293.51M,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']",Moderate
Batman Begins,2005,140,8.2,"15,40,598",$206.85M,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']",Moderate
There Will Be Blood,2007,158,8.2,"6,22,431",$40.22M,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds', 'Martin Stringer']",Moderate
Snatch,2000,104,8.2,"8,89,557",$30.33M,Guy Ritchie,"['Jason Statham', 'Brad Pitt', 'Stephen Graham', 'Vinnie Jones']",Moderate
The Truman Show,1998,103,8.2,"11,52,944",$125.62M,Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']",Moderate
Die Hard,1988,132,8.2,"9,15,617",$83.01M,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']",Moderate
Green Book,2018,130,8.2,"5,39,301",$85.08M,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",Moderate
Casino,1995,178,8.2,"5,48,159",$42.44M,Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",Moderate
Kill Bill: Vol. 1,2003,111,8.2,"11,63,411",$70.10M,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']",Moderate
Hauru no ugoku shiro,2004,119,8.2,"4,27,416",$4.71M,Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']",Moderate
