Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
Crimes and Misdemeanors,1989,104,7.8,"60,016",$18.25M,Woody Allen,"['Martin Landau', 'Woody Allen', 'Bill Bernstein', 'Claire Bloom']",Low
Soshite chichi ni naru,2013,121,7.8,"27,168",$0.28M,Hirokazu Koreeda,"['Masaharu Fukuyama', 'Machiko Ono', 'Yôko Maki', 'Lily Franky']",Low
Tôkyô goddofâzâzu,2003,92,7.8,"44,298",$0.13M,Satoshi Kon,"['Tôru Emori', 'Yoshiaki Umegaki', 'Aya Okamoto', 'Shôzô Îzuka']",Low
A Night at the Opera,1935,96,7.8,"34,197",$2.54M,"Directors:Sam Wood, Edmund Goulding","['Groucho Marx', 'Chico Marx', 'Harpo Marx', 'Kitty Carlisle']",Low
Sennen joyû,2001,87,7.8,"30,720",$0.19M,Satoshi Kon,"['Miyoko Shôji', 'Shôzô Îzuka', 'Mami Koyama', 'Fumiko Orikasa']",Low
Duck Soup,1933,69,7.8,"61,972",*****,Leo McCarey,"['Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Low
Vivre sa vie: Film en douze tableaux,1962,80,7.8,"34,189",*****,Jean-Luc Godard,"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe', 'Guylaine Schlumberger']",Low
Hiroshima mon amour,1959,90,7.8,"34,862",$0.09M,Alain Resnais,"['Emmanuelle Riva', 'Eiji Okada', 'Stella Dassas', 'Pierre Barbaud']",Low
Knockin' on Heaven's Door,1997,87,7.8,"32,757",$0.00M,Thomas Jahn,"['Til Schweiger', 'Jan Josef Liefers', 'Thierry van Werveke', 'Moritz Bleibtreu']",Low
Ma vie de Courgette,2016,66,7.8,"28,059",$0.29M,Claude Barras,"['Gaspard Schlatter', 'Sixtine Murat', 'Paulin Jaccoud', 'Michel Vuillermoz']",Low
English Vinglish,2012,134,7.8,"38,151",$1.67M,Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']",Low
Veer-Zaara,2004,192,7.8,"55,930",$2.92M,Yash Chopra,"['Shah Rukh Khan', 'Preity G Zinta', 'Rani Mukerji', 'Kirron Kher']",Low
Hindi Medium,2017,132,7.8,"31,247",*****,Saket Chaudhary,"['Irrfan Khan', 'Saba Qamar', 'Dishita Sehgal', 'Deepak Dobriyal']",Low
Vicky Donor,2012,126,7.8,"44,828",$0.17M,Shoojit Sircar,"['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia']",Low
John Wick: Chapter 4,2023,169,7.7,"2,89,806",*****,Chad Stahelski,"['Keanu Reeves', 'Laurence Fishburne', 'George Georgiou', 'Lance Reddick']",Low
Halloween,1978,91,7.7,"2,97,261",$47.00M,John Carpenter,"['Donald Pleasence', 'Jamie Lee Curtis', 'Tony Moran', 'Nancy Kyes']",Low
Coraline,2009,100,7.7,"2,54,242",$75.29M,Henry Selick,"['Dakota Fanning', 'Teri Hatcher', 'John Hodgman', 'Jennifer Saunders']",Low
Sicario,2015,121,7.7,"4,57,689",$46.89M,Denis Villeneuve,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro', 'Jon Bernthal']",Low
The Whale,2022,117,7.7,"1,84,278",*****,Darren Aronofsky,"['Brendan Fraser', 'Sadie Sink', 'Ty Simpkins', 'Hong Chau']",Low
The Goonies,1985,114,7.7,"2,90,918",$61.50M,Richard Donner,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen', 'Corey Feldman']",Low
Zodiac,2007,157,7.7,"5,78,424",$33.08M,David Fincher,"['Jake Gyllenhaal', 'Robert Downey Jr.', 'Mark Ruffalo', 'Anthony Edwards']",Low
Harry Potter and the Goblet of Fire,2005,157,7.7,"6,61,213",$290.01M,Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']",Low
Mission: Impossible - Fallout,2018,147,7.7,"3,66,818",$220.16M,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']",Low
Wind River,2017,107,7.7,"2,70,172",$33.80M,Taylor Sheridan,"['Elizabeth Olsen', 'Jeremy Renner', 'Graham Greene', 'Kelsey Asbille']",Low
The Banshees of Inisherin,2022,114,7.7,"2,30,221",*****,Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']",Low
Man on Fire,2004,146,7.7,"3,80,556",$77.91M,Tony Scott,"['Denzel Washington', 'Christopher Walken', 'Dakota Fanning', 'Radha Mitchell']",Low
